customer_id,total_orders,total_revenue,avg_order_value,first_purchase,last_purchase,total_transactions,lifespan_days,lifespan_months,purchase_frequency,customer_value_monthly,simple_clv,predictive_clv,clv_profit,days_since_last,churn_probability,risk_adjusted_clv,clv_bucket
12346,11,372.86,11.3,2009-12-14 08:34:00,2010-06-28 13:53:00,33,196,6.44,1.71,19.3,83.83,231.63,69.49,164,1.0,0.0,$100-500
12347,2,1252.52,17.89,2010-10-31 14:20:00,2010-12-07 14:57:00,70,37,1.22,1.65,29.44,127.86,353.3,105.99,2,0.04,340.57,$100-500
12348,1,222.16,11.11,2010-09-27 14:59:00,2010-09-27 14:59:00,20,1,0.03,30.44,338.13,1468.4,4057.53,1217.26,73,1.0,0.0,$1K-5K
12349,2,1708.84,18.37,2010-04-29 13:20:00,2010-10-28 08:23:00,93,181,5.95,0.34,6.18,26.84,74.16,22.25,42,0.15,62.69,$0-100
12351,1,300.93,14.33,2010-11-29 15:23:00,2010-11-29 15:23:00,21,1,0.03,30.44,436.21,1894.33,5234.46,1570.34,10,1.0,0.0,$5K-10K
12352,2,343.8,19.1,2010-11-12 10:20:00,2010-11-29 10:07:00,18,16,0.53,3.8,72.68,315.61,872.11,261.63,10,0.42,508.73,$500-1K
12353,1,317.76,15.89,2010-10-27 12:44:00,2010-10-27 12:44:00,20,1,0.03,30.44,483.63,2100.29,5803.57,1741.07,43,1.0,0.0,$5K-10K
12355,1,338.21,17.8,2010-05-21 11:59:00,2010-05-21 11:59:00,19,1,0.03,30.44,541.85,2353.11,6502.18,1950.65,202,1.0,0.0,$5K-10K
12356,3,865.45,15.74,2010-10-11 09:42:00,2010-11-24 12:24:00,55,44,1.45,2.08,32.66,141.83,391.9,117.57,15,0.34,258.3,$100-500
12357,1,2643.57,24.48,2010-11-16 10:05:00,2010-11-16 10:05:00,108,1,0.03,30.44,745.1,3235.76,8941.14,2682.34,23,1.0,0.0,$5K-10K
12358,3,800.31,17.78,2009-12-08 07:59:00,2010-11-29 10:56:00,45,356,11.7,0.26,4.56,19.81,54.74,16.42,10,0.03,53.21,$0-100
12359,6,2038.26,18.53,2009-12-05 13:32:00,2010-10-10 11:16:00,110,308,10.12,0.59,10.99,47.72,131.85,39.56,60,0.39,80.48,$100-500
12360,4,1282.19,15.64,2010-02-22 09:32:00,2010-11-12 11:31:00,82,263,8.64,0.46,7.24,31.44,86.87,26.06,27,0.14,74.98,$0-100
12361,3,321.35,16.91,2010-01-26 14:37:00,2010-09-03 15:19:00,19,220,7.23,0.42,7.02,30.49,84.25,25.27,97,0.44,47.1,$0-100
12368,1,290.7,29.07,2010-03-21 15:56:00,2010-03-21 15:56:00,10,1,0.03,30.44,884.89,3842.86,10618.69,3185.61,263,1.0,0.0,$10K+
12369,3,1442.43,15.85,2010-03-08 08:09:00,2010-10-22 13:13:00,91,228,7.49,0.4,6.35,27.57,76.18,22.86,48,0.21,60.15,$0-100
12370,3,614.62,18.08,2010-02-09 09:41:00,2010-03-25 12:10:00,34,44,1.45,2.08,37.52,162.93,450.22,135.07,259,1.0,0.0,$100-500
