customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,segment
12346,5704,11,372.86,2,5,2,252,9,Need Attention
12347,5542,2,1252.52,5,2,4,524,11,Potential Loyalists
12348,5613,1,222.16,2,1,2,212,5,About to Sleep
12349,5582,2,1708.84,3,2,5,325,10,Need Attention
12351,5550,1,300.93,5,1,2,512,8,Recent Customers
12352,5550,2,343.8,5,2,2,522,9,Potential Loyalists
12353,5583,1,317.76,3,1,2,312,6,Promising
12355,5742,1,338.21,1,1,2,112,4,Hibernating
12356,5555,3,865.45,4,3,4,434,11,Potential Loyalists
12357,5563,1,2643.57,4,1,5,415,10,Recent Customers
12358,5550,3,800.31,5,3,4,534,12,Potential Loyalists
12359,5600,6,2038.26,3,4,5,345,12,Loyal Customers
12360,5567,4,1282.19,4,4,4,444,12,Champions
12361,5637,3,321.35,2,3,2,232,7,Need Attention
12368,5803,1,290.7,1,1,2,112,4,Hibernating
12369,5588,3,1442.43,3,3,4,334,10,Need Attention
12370,5799,3,614.62,1,3,3,133,7,At Risk
12371,5584,3,1859.42,3,3,5,335,11,Need Attention
12373,5799,2,603.05,1,2,3,123,6,Lost
12374,5596,2,1258.79,3,2,4,324,9,Need Attention
12376,5564,2,183.15,4,2,1,421,7,Potential Loyalists
12377,5555,2,1496.32,4,2,4,424,10,Potential Loyalists
12378,5737,1,1373.62,1,1,4,114,6,Hibernating
12379,5597,2,767.98,3,2,4,324,9,Need Attention
12380,5640,4,3263.52,2,4,5,245,11,Loyal Customers
12385,5554,1,1219.1,5,1,4,514,10,Recent Customers
12386,5541,1,144.3,5,1,1,511,7,Recent Customers
12387,5590,1,143.94,3,1,1,311,5,Promising
12388,5620,2,803.7,2,2,4,224,8,Need Attention
12389,5577,3,1064.18,3,3,4,334,10,Need Attention
12391,5639,4,1810.48,2,4,5,245,11,Loyal Customers
12392,5766,1,93.15,1,1,1,111,3,Hibernating
12393,5557,2,816.85,4,2,4,424,10,Potential Loyalists
12395,5546,4,1601.24,5,4,5,545,14,Champions
12396,5849,1,931.43,1,1,4,114,6,Hibernating
12399,5560,3,633.09,4,3,3,433,10,Potential Loyalists
12400,5589,1,205.25,3,1,2,312,6,Promising
12402,5567,5,1031.3,4,4,4,444,12,Champions
12403,5696,1,36.0,2,1,1,211,4,About to Sleep
12406,5574,3,1135.52,4,3,4,434,11,Potential Loyalists
12408,5560,3,971.14,4,3,4,434,11,Potential Loyalists
12409,5595,2,1067.96,3,2,4,324,9,Need Attention
12410,5677,1,240.38,2,1,2,212,5,About to Sleep
12411,5584,1,287.2,3,1,2,312,6,Promising
12412,5577,3,1128.91,3,3,4,334,10,Need Attention
12413,5577,1,185.35,3,1,1,311,5,Promising
12414,5638,1,130.0,2,1,1,211,4,About to Sleep
12415,5575,6,1636.44,4,4,5,445,13,Champions
12416,5831,1,202.56,1,1,2,112,4,Hibernating
12417,5585,11,2945.15,3,5,5,355,13,Loyal Customers
12418,5588,3,850.7,3,3,4,334,10,Need Attention
12419,5560,2,419.01,4,2,3,423,9,Potential Loyalists
12421,5590,2,291.56,3,2,2,322,7,Promising
12422,5569,11,2087.89,4,5,5,455,14,Champions
12423,5562,2,703.08,4,2,3,423,9,Potential Loyalists
12424,5597,2,1152.23,3,2,4,324,9,Need Attention
12425,5623,1,923.89,2,1,4,214,7,About to Sleep
12426,5837,1,690.48,1,1,3,113,5,Hibernating
12427,5546,1,174.3,5,1,1,511,7,Recent Customers
12429,5540,5,1469.59,5,4,4,544,13,Champions
12431,5548,10,3115.1,5,5,5,555,15,Champions
12433,5541,5,4775.53,5,4,5,545,14,Champions
12434,5556,1,297.29,4,1,2,412,7,Recent Customers
12435,5571,3,1072.68,4,3,4,434,11,Potential Loyalists
12437,5570,20,6858.09,4,5,5,455,14,Champions
12439,5857,2,1142.88,1,2,4,124,7,Lost
12440,5637,2,715.6,2,2,3,223,7,Need Attention
12441,5541,1,173.55,5,1,1,511,7,Recent Customers
12443,5907,1,365.31,1,1,2,112,4,Hibernating
12445,5595,1,301.58,3,1,2,312,6,Promising
12449,5613,1,61.2,2,1,1,211,4,About to Sleep
12450,5574,3,490.32,4,3,3,433,10,Potential Loyalists
12451,5638,3,2968.72,2,3,5,235,10,Need Attention
12455,5620,4,2276.99,2,4,5,245,11,Loyal Customers
12457,5610,1,355.3,3,1,2,312,6,Promising
12458,5602,2,750.09,3,2,4,324,9,Need Attention
12459,5780,1,378.2,1,1,2,112,4,Hibernating
12460,5631,1,326.65,2,1,2,212,5,About to Sleep
12467,5598,1,132.8,3,1,1,311,5,Promising
12468,5701,3,1597.44,2,3,5,235,10,Need Attention
12469,5697,1,1113.7,2,1,4,214,7,About to Sleep
12470,5864,1,211.95,1,1,2,112,4,Hibernating
12471,5549,47,13258.49,5,5,5,555,15,Champions
12472,5544,13,10197.22,5,5,5,555,15,Champions
12474,5553,13,4811.64,5,5,5,555,15,Champions
12475,5584,1,426.26,3,1,3,313,7,Lost
12476,5572,8,5248.35,4,5,5,455,14,Champions
12477,5574,3,5018.73,4,3,5,435,12,Potential Loyalists
12480,5574,3,1607.22,4,3,5,435,12,Potential Loyalists
12481,5540,5,3094.2,5,4,5,545,14,Champions
12482,5775,8,495.32,1,5,3,153,9,Loyal Customers
12483,5553,10,1515.0,5,5,4,554,14,Champions
12484,5658,5,1393.5,2,4,4,244,10,Loyal Customers
12485,5704,1,631.9,2,1,3,213,6,About to Sleep
12486,5606,1,876.0,3,1,4,314,8,Lost
12490,5553,11,4069.23,5,5,5,555,15,Champions
12492,5578,1,380.0,3,1,2,312,6,Promising
12494,5540,3,612.85,5,3,3,533,11,Potential Loyalists
12495,5815,1,277.4,1,1,2,112,4,Hibernating
12496,5795,2,45.34,1,2,1,121,4,Lost
12497,5819,1,150.24,1,1,1,111,3,Hibernating
12499,5735,1,373.56,1,1,2,112,4,Hibernating
12500,5610,7,1017.44,3,5,4,354,12,Loyal Customers
12504,5592,2,165.0,3,2,1,321,6,Promising
12505,5583,1,787.2,3,1,4,314,8,Lost
12507,5759,1,455.25,1,1,3,113,5,Hibernating
12510,5634,5,1612.58,2,4,5,245,11,Loyal Customers
12511,5603,1,2956.82,3,1,5,315,9,Lost
12514,5816,1,478.2,1,1,3,113,5,Hibernating
12516,5605,2,906.6,3,2,4,324,9,Need Attention
12519,5651,1,371.78,2,1,2,212,5,About to Sleep
12523,5549,12,2437.66,5,5,5,555,15,Champions
12524,5584,5,1334.81,3,4,4,344,11,Loyal Customers
12525,5673,3,883.73,2,3,4,234,9,Need Attention
12527,5704,1,181.8,2,1,1,211,4,About to Sleep
12529,5703,1,316.48,2,1,2,212,5,About to Sleep
12530,5590,5,1517.72,3,4,4,344,11,Loyal Customers
12531,5861,1,1645.98,1,1,5,115,7,Hibernating
12533,5802,2,1259.89,1,2,4,124,7,Lost
12537,5583,1,612.94,3,1,3,313,7,Lost
12538,5553,1,276.5,5,1,2,512,8,Recent Customers
12539,5625,3,4317.8,2,3,5,235,10,Need Attention
12540,5553,15,5624.93,5,5,5,555,15,Champions
12542,5658,2,441.56,2,2,3,223,7,Need Attention
12543,5623,1,695.05,2,1,3,213,6,About to Sleep
12547,5675,1,175.78,2,1,1,211,4,About to Sleep
12549,5750,5,944.72,1,4,4,144,9,Loyal Customers
12553,5560,2,856.57,4,2,4,424,10,Potential Loyalists
12554,5623,1,384.5,2,1,2,212,5,About to Sleep
12557,5607,1,491.34,3,1,3,313,7,Lost
12562,5560,2,684.5,4,2,3,423,9,Potential Loyalists
12563,5583,1,249.24,3,1,2,312,6,Promising
12567,5542,7,3535.98,5,5,5,555,15,Champions
12568,5819,1,70.0,1,1,1,111,3,Hibernating
12573,5556,4,496.03,4,4,3,443,11,Loyal Customers
12575,5632,2,622.82,2,2,3,223,7,Need Attention
12576,5567,3,746.89,4,3,4,434,11,Potential Loyalists
12577,5556,5,908.9,4,4,4,444,12,Champions
12578,5560,2,1175.74,4,2,4,424,10,Potential Loyalists
12580,5751,1,637.2,1,1,3,113,5,Hibernating
12582,5597,2,1289.64,3,2,4,324,9,Need Attention
12583,5548,13,5067.29,5,5,5,555,15,Champions
12586,5549,3,1567.43,5,3,5,535,13,Potential Loyalists
12588,5574,3,583.88,4,3,3,433,10,Potential Loyalists
12589,5596,4,2521.93,3,4,5,345,12,Loyal Customers
12591,5565,2,702.7,4,2,3,423,9,Potential Loyalists
12592,5694,2,618.84,2,2,3,223,7,Need Attention
12594,5553,5,1476.49,5,4,4,544,13,Champions
12595,5679,1,258.7,2,1,2,212,5,About to Sleep
12598,5638,3,1232.01,2,3,4,234,9,Need Attention
12599,5556,6,1129.68,4,4,4,444,12,Champions
12600,5546,12,1383.33,5,5,4,554,14,Champions
12601,5579,1,104.2,3,1,1,311,5,Promising
12605,5551,4,1232.95,5,4,4,544,13,Champions
12606,5857,1,21.0,1,1,1,111,3,Hibernating
12608,5579,1,95.05,3,1,1,311,5,Promising
12609,5549,6,2249.61,5,4,5,545,14,Champions
12613,5563,5,3066.91,4,4,5,445,13,Champions
12615,5588,4,3188.67,3,4,5,345,12,Loyal Customers
12616,5563,1,417.8,4,1,3,413,8,Recent Customers
12619,5735,1,140.14,1,1,1,111,3,Hibernating
12621,5540,16,5358.18,5,5,5,555,15,Champions
12623,5591,6,3112.32,3,4,5,345,12,Loyal Customers
12625,5684,2,2023.62,2,2,5,225,9,Need Attention
12629,5560,2,508.82,4,2,3,423,9,Potential Loyalists
12631,5631,5,2630.37,2,4,5,245,11,Loyal Customers
12632,5695,2,706.96,2,2,3,223,7,Need Attention
12633,5557,3,3258.34,4,3,5,435,12,Potential Loyalists
12634,5723,1,360.0,1,1,2,112,4,Hibernating
12635,5567,2,1169.23,4,2,4,424,10,Potential Loyalists
12637,5553,4,2141.35,5,4,5,545,14,Champions
12638,5814,1,93.3,1,1,1,111,3,Hibernating
12639,5609,2,746.27,3,2,4,324,9,Need Attention
12643,5620,2,33.0,2,2,1,221,5,About to Sleep
12644,5605,3,1310.38,3,3,4,334,10,Need Attention
12645,5584,4,1704.72,3,4,5,345,12,Loyal Customers
12647,5542,24,7639.83,5,5,5,555,15,Champions
12648,5612,3,753.15,2,3,4,234,9,Need Attention
12649,5557,4,1398.14,4,4,4,444,12,Champions
12651,5553,3,263.75,5,3,2,532,10,Potential Loyalists
12652,5609,1,97.05,3,1,1,311,5,Promising
12653,5701,1,795.48,2,1,4,214,7,About to Sleep
12655,5598,1,261.35,3,1,2,312,6,Promising
12656,5600,3,1954.66,3,3,5,335,11,Need Attention
12661,5611,1,162.0,2,1,1,211,4,About to Sleep
12662,5548,10,3138.24,5,5,5,555,15,Champions
12663,5799,2,160.2,1,2,1,121,4,Lost
12665,5592,2,250.6,3,2,2,322,7,Promising
12666,5569,1,475.58,4,1,3,413,8,Recent Customers
12668,5553,5,6554.52,5,4,5,545,14,Champions
12670,5560,2,605.04,4,2,3,423,9,Potential Loyalists
12671,5781,1,460.5,1,1,3,113,5,Hibernating
12672,5770,1,211.15,1,1,2,112,4,Hibernating
12673,5576,1,560.1,3,1,3,313,7,Lost
12675,5728,2,873.25,1,2,4,124,7,Lost
12676,5583,5,1110.98,3,4,4,344,11,Loyal Customers
12677,5730,2,395.1,1,2,2,122,5,Lost
12678,5550,6,1531.26,5,4,4,544,13,Champions
12681,5542,24,14394.95,5,5,5,555,15,Champions
12682,5540,23,10222.11,5,5,5,555,15,Champions
12683,5540,8,3717.41,5,5,5,555,15,Champions
12686,5546,1,89.14,5,1,1,511,7,Recent Customers
12687,5655,1,1818.59,2,1,5,215,8,About to Sleep
12691,5595,1,134.6,3,1,1,311,5,Promising
12692,5812,1,110.95,1,1,1,111,3,Hibernating
12693,5571,3,665.31,4,3,3,433,10,Potential Loyalists
12694,5595,1,901.68,3,1,4,314,8,Lost
12695,5703,3,763.82,2,3,4,234,9,Need Attention
12696,5609,2,771.91,3,2,4,324,9,Need Attention
12698,5765,1,339.75,1,1,2,112,4,Hibernating
12699,5592,1,566.11,3,1,3,313,7,Lost
12701,5704,4,1608.38,2,4,5,245,11,Loyal Customers
12703,5808,3,722.98,1,3,3,133,7,At Risk
12705,5558,5,4455.81,4,4,5,445,13,Champions
12708,5543,9,2515.27,5,5,5,555,15,Champions
12709,5541,17,3442.83,5,5,5,555,15,Champions
12711,5786,2,1161.45,1,2,4,124,7,Lost
12712,5540,10,2513.8,5,5,5,555,15,Champions
12714,5563,7,7609.45,4,5,5,455,14,Champions
12717,5765,1,277.93,1,1,2,112,4,Hibernating
12720,5544,5,2199.1,5,4,5,545,14,Champions
12721,5560,2,1284.95,4,2,4,424,10,Potential Loyalists
12724,5558,3,1185.31,4,3,4,434,11,Potential Loyalists
12725,5546,3,1590.02,5,3,5,535,13,Potential Loyalists
12726,5562,4,940.86,4,4,4,444,12,Champions
12727,5617,3,1146.43,2,3,4,234,9,Need Attention
12728,5558,1,233.84,4,1,2,412,7,Recent Customers
12730,5696,1,703.25,2,1,3,213,6,About to Sleep
12731,5617,4,1547.5,2,4,4,244,10,Loyal Customers
12733,5564,3,1950.92,4,3,5,435,12,Potential Loyalists
12734,5549,2,296.75,5,2,2,522,9,Potential Loyalists
12738,5547,1,155.35,5,1,1,511,7,Recent Customers
12739,5560,2,786.19,4,2,4,424,10,Potential Loyalists
12741,5708,1,236.07,2,1,2,212,5,About to Sleep
12742,5800,1,1080.56,1,1,4,114,6,Hibernating
12744,5634,4,2688.13,2,4,5,245,11,Loyal Customers
12745,5661,2,416.53,2,2,3,223,7,Need Attention
12746,5715,1,254.55,2,1,2,212,5,About to Sleep
12747,5544,16,2883.73,5,5,5,555,15,Champions
12748,5540,132,14794.18,5,5,5,555,15,Champions
12749,5574,4,2746.63,4,4,5,445,13,Champions
12751,5619,1,268.27,2,1,2,212,5,About to Sleep
12755,5560,9,584.31,4,5,3,453,12,Loyal Customers
12758,5634,5,3839.73,2,4,5,245,11,Loyal Customers
12759,5560,5,3394.14,4,4,5,445,13,Champions
12760,5630,1,347.8,2,1,2,212,5,About to Sleep
12761,5632,2,629.95,2,2,3,223,7,Need Attention
12763,5544,1,260.08,5,1,2,512,8,Recent Customers
12765,5647,6,1226.38,2,4,4,244,10,Loyal Customers
12766,5541,3,2133.85,5,3,5,535,13,Potential Loyalists
12767,5550,1,767.66,5,1,4,514,10,Recent Customers
12768,5625,1,150.45,2,1,1,211,4,About to Sleep
12771,5660,1,226.3,2,1,2,212,5,About to Sleep
12773,5739,1,37.25,1,1,1,111,3,Hibernating
12774,5710,1,98.7,2,1,1,211,4,About to Sleep
12775,5563,2,300.08,4,2,2,422,8,Potential Loyalists
12776,5842,1,55.5,1,1,1,111,3,Hibernating
12777,5632,1,424.95,2,1,3,213,6,About to Sleep
12778,5571,3,825.53,4,3,4,434,11,Potential Loyalists
12779,5546,7,2599.31,5,5,5,555,15,Champions
12780,5773,1,297.08,1,1,2,112,4,Hibernating
12782,5549,6,1923.32,5,4,5,545,14,Champions
12784,5704,1,1034.33,2,1,4,214,7,About to Sleep
12785,5710,2,609.45,2,2,3,223,7,Need Attention
12786,5784,1,265.3,1,1,2,112,4,Hibernating
12787,5588,1,398.52,3,1,3,313,7,Lost
12788,5638,4,444.9,2,4,3,243,9,Loyal Customers
12789,5687,2,33.0,2,2,1,221,5,About to Sleep
12790,5585,1,266.93,3,1,2,312,6,Promising
12791,5548,5,453.43,5,4,3,543,12,Loyal Customers
12792,5709,1,370.47,2,1,2,212,5,About to Sleep
12793,5546,2,415.85,5,2,3,523,10,Potential Loyalists
12796,5803,1,30.0,1,1,1,111,3,Hibernating
12797,5540,2,496.08,5,2,3,523,10,Potential Loyalists
12798,5596,1,43.49,3,1,1,311,5,Promising
12799,5704,1,219.35,2,1,2,212,5,About to Sleep
12800,5645,2,528.25,2,2,3,223,7,Need Attention
12801,5675,1,778.0,2,1,4,214,7,About to Sleep
12802,5617,6,1700.52,2,4,5,245,11,Loyal Customers
12803,5568,1,897.81,4,1,4,414,9,Recent Customers
12804,5640,2,325.37,2,2,2,222,6,Need Attention
12805,5556,4,1002.35,4,4,4,444,12,Champions
12806,5610,4,895.26,3,4,4,344,11,Loyal Customers
12807,5558,1,250.35,4,1,2,412,7,Recent Customers
12808,5543,3,422.45,5,3,3,533,11,Potential Loyalists
12809,5740,2,979.03,1,2,4,124,7,Lost
12810,5709,2,474.99,2,2,3,223,7,Need Attention
12811,5553,2,463.05,5,2,3,523,10,Potential Loyalists
12813,5676,3,859.6,2,3,4,234,9,Need Attention
12817,5574,2,453.54,4,2,3,423,9,Potential Loyalists
12819,5633,1,360.88,2,1,2,212,5,About to Sleep
12820,5572,7,1680.34,4,5,5,455,14,Champions
12821,5786,1,128.08,1,1,1,111,3,Hibernating
12825,5696,2,454.83,2,2,3,223,7,Need Attention
12826,5540,6,1301.23,5,4,4,544,13,Champions
12829,5725,1,55.82,1,1,1,111,3,Hibernating
12831,5638,2,215.9,2,2,2,222,6,Need Attention
12835,5602,41,5613.39,3,5,5,355,13,Loyal Customers
12836,5564,11,3077.17,4,5,5,455,14,Champions
12837,5744,1,528.56,1,1,3,113,5,Hibernating
12838,5548,9,2185.71,5,5,5,555,15,Champions
12839,5542,13,4169.01,5,5,5,555,15,Champions
12840,5612,3,1048.44,2,3,4,234,9,Need Attention
12841,5544,17,3276.71,5,5,5,555,15,Champions
12842,5579,2,249.4,3,2,2,322,7,Promising
12843,5557,18,1536.56,4,5,4,454,13,Champions
